1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
P08133	Q92973	Q9Y6X9	Q9UI30						
Q02790	P53621	Q96HC4	P04439						
Q86X55	P26641	P61020	Q02818						
Q8WUM4	O00203	P23919	O95197						
P60866	O75608	Q07666	O60841						
O43169	P40429	Q9UK76	Q15046						
P42677	Q9UQ80	Q92973	P12004						
P17096	Q15126	Q3ZCM7	Q9Y6X9						
O15067	P30049	P53621	P07711						
P61086	O00154	P26641	Q96HC4						
P12814	P08758	O00203	P61020						
O43707	Q16563	O75608	P23919						
P17980	Q7L014	P40429	Q07666						
P15559	P08133	Q9UQ80	Q9UK76						
Q15459	Q02790	Q15126	Q92973						
P83731	Q86X55	P30049	Q9Y6H1						
Q16658	Q8WUM4	O00154	P53621						
P56192	P60866	P08758	P26641						
Q99471	O43169	Q16563	O00203						
Q9UHB9	P42677	Q7L014	O75608						
Q99832	P17096	P08133	P40429						
Q8WVM8	O15067	Q02790	Q9UQ80						
Q9GZY8	P61086	Q86X55	Q15126						
Q15717	P12814	Q8WUM4	P30049						
Q8TEX9	O43707	P60866	O00154						
Q15691	P17980	O43169	P08758						
P05783	P15559	P42677	Q16563						
P08708	Q15459	P17096	Q7L014						
Q15102	P83731	O15067	P08133						
P06454	Q16658	P61086	Q02790						
P28072	P56192	P0DMV8	Q86X55						
P61221	Q99471	P12814	Q8WUM4						
Q9GZT3	Q9UHB9	O43707	P60866						
Q9UJS0	Q99832	P17980	Q99615						
P25789	Q8WVM8	P15559	O43169						
O60493	Q9GZY8	Q15459	P30876						
Q96QK1	Q15717	P83731	P17096						
Q8NBQ5	Q8TEX9	Q16658	Q7L5N1						
P33316	Q15691	P56192	P61086						
P04632	P05783	Q99471	P42677						
P13667	P08708	Q9UHB9	Q9Y5K5						
Q6NZI2	Q15102	Q99832	O15067						
Q07817	P06454	Q8WVM8	P12814						
Q9H0U4	P28072	Q9GZY8	O43707						
P61970	P61221	Q15717	P17980						
P35606	Q9GZT3	Q8TEX9	P15559						
Q13813	Q9UJS0	Q15691	Q15459						
P30153	P25789	P05783	P83731						
Q04837	O60493	P08708	Q16658						
Q13347	Q96QK1	Q15102	P56192						
P62857	Q8NBQ5	P06454	Q99471						
P62269	P33316	P28072	Q9UHB9						
P41252	P04632	P61221	Q99832						
P21333	P13667	Q9GZT3	Q8WVM8						
Q03252	Q6NZI2	Q9UJS0	Q9GZY8						
P16403	Q07817	P25789	Q92530						
Q9NZM1	Q9H0U4	O60493	Q86V81						
P09622	P61970	Q96QK1	Q15717						
P34897	P35606	Q8NBQ5	Q8TEX9						
Q9Y3U8	Q13813	P33316	Q15691						
P36578	P30153	P04632	P05783						
Q8WWM7	Q04837	P13667	P08708						
P07919	Q13347	Q6NZI2	Q15102						
Q8IVF2	P62857	Q07817	P06454						
O00533	P62269	Q9H0U4	P28072						
P49773	P41252	P61970	P61221						
P50395	P21333	Q13451	Q9GZT3						
Q3LXA3	Q03252	P35606	Q9UJS0						
O43396	P16403	Q13813	P25789						
P26583	Q9NZM1	P30153	O60493						
P33993	P09622	Q04837	Q96QK1						
P10155	P34897	Q13347	Q8NBQ5						
Q86TU7	Q9Y3U8	P62857	P33316						
Q8N766	P36578	P62269	P04632						
Q13310	Q8WWM7	P41252	P13667						
P60903	P07919	P21333	Q6NZI2						
P36915	Q8IVF2	Q03252	Q07817						
Q13509	O00533	P16403	Q9H0U4						
P18206	P49773	Q9NZM1	P61970						
P46777	P50395	P09622	P35606						
Q09028	Q3LXA3	P34897	Q13813						
